OccClass,W1 ,W2 ,S1L ,S2L ,S3 ,S4L ,S5L ,C1L ,C2L ,C3L ,PC1 ,PC2L ,RM1L ,RM2L ,URML ,MH 
RES2 ,,,,,,,,,,,,,,,,100.0
RES3 ,73.0,,1.0,1.0,1.0,,6.0,,3.0,3.0,,,1.0,,9.0,2.0
RES4 ,34.0,,2.0,1.0,2.0,1.0,19.0,,16.0,3.0,,,4.0,,18.0,
RES5 ,20.0,,5.0,1.0,,1.0,,,28.0,18.0,,,6.0,,21.0,
RES6 ,45.0,,,,10.0,,5.0,,10.0,,,,20.0,,10.0,
COM1 ,,22.0,2.0,,6.0,3.0,20.0,,17.0,1.0,,,6.0,,23.0,
COM2 ,,8.0,3.0,,4.0,2.0,41.0,,18.0,1.0,3.0,,5.0,2.0,13.0,
COM3 ,,28.0,1.0,1.0,3.0,,18.0,,7.0,,1.0,,8.0,,33.0,
COM4 ,,27.0,2.0,1.0,3.0,,19.0,,15.0,,,,7.0,,26.0,
COM5 ,,27.0,2.0,1.0,3.0,,19.0,,15.0,,,,7.0,,26.0,
COM6 ,,8.0,5.0,2.0,11.0,,11.0,,27.0,2.0,1.0,,27.0,,6.0,
COM7 ,,25.0,5.0,2.0,10.0,,10.0,,15.0,2.0,1.0,,20.0,,10.0,
COM8 ,,8.0,12.0,1.0,2.0,3.0,16.0,,27.0,4.0,,,5.0,1.0,21.0,
COM9 ,,5.0,20.0,7.0,,,15.0,,20.0,3.0,,,10.0,,20.0,
COM10 ,,,,8.0,,8.0,18.0,,43.0,7.0,,1.0,6.0,3.0,6.0,
IND1 ,,3.0,29.0,13.0,2.0,2.0,15.0,,14.0,7.0,1.0,,4.0,2.0,8.0,
IND2 ,,4.0,14.0,8.0,22.0,1.0,18.0,,16.0,1.0,1.0,,2.0,,13.0,
IND3 ,,1.0,18.0,8.0,3.0,3.0,20.0,,22.0,,2.0,,3.0,,20.0,
IND4 ,,2.0,24.0,12.0,7.0,2.0,13.0,,16.0,,2.0,,2.0,6.0,14.0,
IND5 ,,,21.0,5.0,5.0,,3.0,,35.0,2.0,10.0,2.0,15.0,,2.0,
IND6 ,,32.0,3.0,2.0,10.0,,18.0,,8.0,7.0,,,,,13.0,7.0
AGR1 ,56.0,,3.0,2.0,14.0,,2.0,,9.0,,,,,1.0,13.0,
REL1 ,22.0,,8.0,,2.0,,21.0,,15.0,5.0,,,8.0,,19.0,
GOV1 ,,9.0,8.0,1.0,3.0,4.0,12.0,,42.0,4.0,,,6.0,,11.0,
GOV2 ,45.0,,,,,2.0,,,37.0,,,,3.0,,13.0,
EDU1 ,11.0,,6.0,,3.0,3.0,21.0,,21.0,4.0,,,9.0,,22.0,
EDU2 ,2.0,,5.0,10.0,,5.0,15.0,,20.0,,,,20.0,5.0,18.0,
