OccClass,S1M ,S2M ,S4M ,S5M ,C1M ,C2M ,C3M ,PC2M ,RM1M ,RM2M ,URMM 
RES3 ,15.0,4.0,5.0,,1.0,19.0,25.0,,8.0,,23.0
RES4 ,18.0,4.0,12.0,,1.0,20.0,20.0,,8.0,,17.0
RES5 ,16.0,1.0,5.0,,,40.0,20.0,,,,18.0
RES6 ,20.0,,5.0,,,35.0,20.0,,10.0,,10.0
COM1 ,8.0,6.0,3.0,,,21.0,34.0,,11.0,1.0,16.0
COM2 ,8.0,,,,,27.0,53.0,,5.0,,7.0
COM3 ,18.0,,,,,22.0,42.0,,5.0,,13.0
COM4 ,25.0,7.0,10.0,,2.0,22.0,16.0,,9.0,,9.0
COM5 ,25.0,7.0,10.0,,2.0,22.0,16.0,,9.0,,9.0
COM6 ,18.0,4.0,6.0,,1.0,35.0,19.0,,8.0,,9.0
COM7 ,20.0,5.0,5.0,,,30.0,20.0,,10.0,,10.0
COM8 ,25.0,,20.0,,,40.0,5.0,,,,10.0
COM9 ,30.0,,10.0,,,40.0,10.0,,,,10.0
COM10 ,,10.0,5.0,,2.0,55.0,18.0,,3.0,2.0,5.0
IND1 ,,,,,,,,,,,
IND2 ,,,10.0,,,5.0,75.0,,,,10.0
IND3 ,32.0,3.0,1.0,,1.0,14.0,41.0,,3.0,,5.0
IND4 ,25.0,3.0,1.0,,,9.0,52.0,,,,10.0
IND5 ,35.0,10.0,,,,30.0,5.0,,20.0,,
IND6 ,,,,,,20.0,80.0,,,,
AGR1 ,,,,,,25.0,75.0,,,,
REL1 ,,,,,,10.0,90.0,,,,
GOV1 ,30.0,15.0,5.0,,3.0,23.0,10.0,,4.0,,10.0
GOV2 ,,,,,,,,,,,
EDU2 ,10.0,,20.0,,,60.0,3.0,,5.0,,2.0
