OccClass,W1 ,W2 ,S1L ,S2L ,S3 ,S4L ,S5L ,C1L ,C2L ,C3L ,PC1 ,PC2L ,RM1L ,RM2L ,URML ,MH 
RES2 ,,,,,,,,,,,,,,,,100.0
RES3 ,73.0,,,,2.0,3.0,,,6.0,1.0,,1.0,9.0,,,5.0
RES4 ,53.0,,3.0,,2.0,3.0,,4.0,13.0,,,,20.0,2.0,,
RES5 ,33.0,,3.0,3.0,,6.0,,5.0,24.0,,,,23.0,3.0,,
RES6 ,70.0,,,,,,,,5.0,,5.0,,20.0,,,
COM1 ,,26.0,9.0,1.0,2.0,1.0,,6.0,10.0,1.0,15.0,5.0,21.0,3.0,,
COM2 ,,8.0,4.0,1.0,3.0,4.0,,2.0,12.0,,41.0,3.0,19.0,3.0,,
COM3 ,,13.0,3.0,2.0,2.0,3.0,,3.0,13.0,,20.0,5.0,34.0,2.0,,
COM4 ,,35.0,3.0,2.0,1.0,3.0,,4.0,15.0,,8.0,3.0,24.0,2.0,,
COM5 ,,35.0,3.0,2.0,1.0,3.0,,4.0,15.0,,8.0,3.0,24.0,2.0,,
COM6 ,,31.0,6.0,1.0,1.0,7.0,,4.0,13.0,,7.0,,28.0,2.0,,
COM7 ,,47.0,16.0,,,5.0,,4.0,6.0,,2.0,,20.0,,,
COM8 ,,4.0,23.0,8.0,1.0,3.0,,2.0,15.0,,4.0,1.0,32.0,7.0,,
COM9 ,,5.0,27.0,20.0,,,,,12.0,,4.0,,27.0,5.0,,
COM10 ,,,8.0,8.0,,6.0,,3.0,49.0,,3.0,13.0,7.0,3.0,,
IND1 ,,11.0,19.0,28.0,3.0,2.0,,1.0,9.0,,11.0,3.0,11.0,1.0,,1.0
IND2 ,,3.0,13.0,9.0,6.0,3.0,,,10.0,,41.0,3.0,12.0,,,
IND3 ,,2.0,15.0,10.0,5.0,3.0,,,12.0,,28.0,7.0,18.0,,,
IND4 ,,1.0,26.0,18.0,5.0,4.0,,1.0,11.0,1.0,12.0,5.0,15.0,1.0,,
IND5 ,,1.0,12.0,8.0,2.0,3.0,,,10.0,,38.0,7.0,17.0,1.0,,1.0
IND6 ,,30.0,4.0,6.0,11.0,,,,8.0,,16.0,6.0,14.0,,,5.0
AGR1 ,40.0,,8.0,11.0,8.0,,,,3.0,,11.0,1.0,15.0,1.0,,2.0
REL1 ,23.0,,12.0,3.0,1.0,6.0,,,26.0,,1.0,3.0,22.0,3.0,,
GOV1 ,,8.0,15.0,4.0,3.0,7.0,,2.0,32.0,,,4.0,16.0,9.0,,
GOV2 ,40.0,,3.0,7.0,,23.0,,,10.0,,,7.0,3.0,7.0,,
EDU1 ,24.0,,9.0,6.0,1.0,5.0,,3.0,16.0,3.0,4.0,3.0,21.0,5.0,,
EDU2 ,5.0,,10.0,10.0,,5.0,,,20.0,,5.0,,40.0,5.0,,
