OccClass,S1M ,S2M ,S4M ,S5M ,C1M ,C2M ,C3M ,PC2M ,RM1M ,RM2M ,URMM 
RES3 ,9.0,23.0,8.0,,10.0,28.0,,7.0,12.0,3.0,
RES4 ,16.0,28.0,8.0,,11.0,18.0,,3.0,13.0,3.0,
RES5 ,9.0,10.0,11.0,,16.0,34.0,,4.0,11.0,5.0,
RES6 ,25.0,10.0,15.0,,10.0,35.0,,,5.0,,
COM1 ,34.0,9.0,3.0,,12.0,17.0,,5.0,15.0,5.0,
COM2 ,20.0,17.0,,,15.0,10.0,,8.0,15.0,15.0,
COM3 ,11.0,17.0,3.0,,10.0,17.0,,12.0,17.0,13.0,
COM4 ,37.0,10.0,12.0,,9.0,15.0,,3.0,9.0,5.0,
COM5 ,37.0,10.0,12.0,,9.0,15.0,,3.0,9.0,5.0,
COM6 ,25.0,9.0,15.0,,10.0,33.0,,1.0,6.0,1.0,
COM7 ,25.0,10.0,15.0,,10.0,35.0,,,5.0,,
COM8 ,,10.0,,,90.0,,,,,,
COM9 ,,10.0,,,90.0,,,,,,
COM10 ,4.0,8.0,3.0,,4.0,66.0,,8.0,6.0,1.0,
IND1 ,,,,,,,,,,,
IND2 ,,,,,,,,,,,
IND3 ,62.0,5.0,1.0,,23.0,4.0,,1.0,3.0,1.0,
IND4 ,100.0,,,,,,,,,,
IND5 ,18.0,14.0,3.0,,34.0,13.0,,5.0,10.0,3.0,
IND6 ,,,,,,,,,,,
AGR1 ,,,,,,,,,,,
REL1 ,,5.0,,,90.0,,,,,5.0,
GOV1 ,25.0,11.0,15.0,,22.0,12.0,,4.0,9.0,2.0,
GOV2 ,25.0,20.0,35.0,,,20.0,,,,,
EDU2 ,20.0,5.0,10.0,,25.0,25.0,,,10.0,5.0,
