OccClass,W1 ,W2 ,S1L ,S2L ,S3 ,S4L ,S5L ,C1L ,C2L ,C3L ,PC1 ,PC2L ,RM1L ,RM2L ,URML ,MH 
RES2 ,,,,,,,,,,,,,,,,100.0
RES3 ,62.0,,,3.0,,,,2.0,2.0,,,,5.0,4.0,22.0,
RES4 ,48.0,,5.0,4.0,,,4.0,8.0,4.0,,3.0,3.0,3.0,3.0,15.0,
RES5 ,7.0,,7.0,6.0,,,6.0,17.0,6.0,3.0,8.0,6.0,5.0,5.0,24.0,
RES6 ,22.0,,11.0,8.0,,,8.0,8.0,3.0,2.0,4.0,3.0,5.0,4.0,22.0,
COM1 ,,14.0,20.0,15.0,5.0,,16.0,3.0,2.0,,2.0,,4.0,2.0,17.0,
COM2 ,,10.0,21.0,15.0,7.0,,16.0,3.0,2.0,,2.0,,3.0,4.0,17.0,
COM3 ,,25.0,7.0,5.0,11.0,,5.0,3.0,2.0,,2.0,,6.0,4.0,30.0,
COM4 ,,26.0,11.0,8.0,4.0,,9.0,4.0,2.0,,3.0,,5.0,4.0,24.0,
COM5 ,,13.0,13.0,9.0,13.0,,10.0,5.0,3.0,,2.0,2.0,5.0,3.0,22.0,
COM6 ,,2.0,22.0,15.0,,,18.0,10.0,4.0,2.0,5.0,4.0,3.0,2.0,13.0,
COM7 ,,24.0,10.0,7.0,15.0,,8.0,3.0,2.0,,3.0,,4.0,4.0,20.0,
COM8 ,,19.0,19.0,13.0,6.0,,15.0,3.0,2.0,,2.0,,3.0,3.0,15.0,
COM9 ,,5.0,20.0,13.0,12.0,2.0,16.0,7.0,2.0,,3.0,3.0,3.0,2.0,12.0,
COM10 ,,,10.0,7.0,,,8.0,30.0,11.0,6.0,14.0,12.0,,,2.0,
IND1 ,,5.0,22.0,15.0,4.0,2.0,17.0,7.0,3.0,,3.0,3.0,3.0,3.0,13.0,
IND2 ,,10.0,15.0,9.0,15.0,,11.0,5.0,3.0,,2.0,2.0,4.0,5.0,19.0,
IND3 ,,7.0,25.0,18.0,3.0,,19.0,4.0,2.0,,2.0,2.0,3.0,2.0,13.0,
IND4 ,,7.0,26.0,19.0,3.0,,20.0,3.0,2.0,,2.0,,2.0,3.0,13.0,
IND5 ,,5.0,25.0,17.0,3.0,2.0,20.0,7.0,3.0,,3.0,3.0,,2.0,10.0,
IND6 ,,10.0,21.0,14.0,7.0,2.0,16.0,5.0,2.0,,2.0,2.0,2.0,3.0,14.0,
AGR1 ,,48.0,8.0,6.0,12.0,,7.0,2.0,,,,,3.0,2.0,12.0,
REL1 ,36.0,,4.0,4.0,,,3.0,2.0,2.0,,2.0,,7.0,6.0,34.0,
GOV1 ,,7.0,24.0,16.0,3.0,,19.0,5.0,3.0,,2.0,1.0,3.0,3.0,13.0,
GOV2 ,,8.0,16.0,11.0,4.0,,13.0,8.0,3.0,2.0,4.0,3.0,4.0,5.0,19.0,
EDU1 ,,13.0,17.0,13.0,,,13.0,5.0,3.0,,2.0,2.0,5.0,5.0,22.0,
EDU2 ,,4.0,18.0,13.0,,,14.0,8.0,3.0,2.0,4.0,3.0,5.0,4.0,22.0,
