OccClass,S1M ,S2M ,S4M ,S5M ,C1M ,C2M ,C3M ,PC2M ,RM1M ,RM2M ,URMM 
RES3 ,3.0,4.0,,,6.0,3.0,,14.0,,13.0,57.0
RES4 ,9.0,12.0,,3.0,18.0,9.0,2.0,11.0,,7.0,29.0
RES5 ,7.0,10.0,,3.0,23.0,11.0,3.0,12.0,,5.0,26.0
RES6 ,,,,,,,,,,,
COM1 ,23.0,29.0,2.0,8.0,5.0,3.0,,5.0,,5.0,20.0
COM2 ,23.0,30.0,3.0,8.0,4.0,3.0,,5.0,,5.0,19.0
COM3 ,10.0,13.0,,3.0,5.0,4.0,,11.0,,10.0,44.0
COM4 ,14.0,19.0,2.0,5.0,7.0,4.0,,9.0,,7.0,33.0
COM5 ,15.0,21.0,2.0,6.0,8.0,5.0,,8.0,,6.0,29.0
COM6 ,21.0,27.0,2.0,8.0,12.0,6.0,2.0,7.0,,2.0,13.0
COM7 ,15.0,20.0,2.0,5.0,7.0,4.0,,9.0,,6.0,32.0
COM8 ,22.0,30.0,3.0,8.0,5.0,3.0,,5.0,,5.0,19.0
COM9 ,,,,,,,,,,,
COM10 ,10.0,13.0,,3.0,38.0,17.0,6.0,11.0,,,2.0
IND1 ,,,,,,,,,,,
IND2 ,22.0,28.0,2.0,8.0,10.0,5.0,2.0,6.0,,3.0,14.0
IND3 ,25.0,32.0,3.0,9.0,6.0,4.0,,4.0,,3.0,14.0
IND4 ,,,,,,,,,,,
IND5 ,24.0,32.0,3.0,9.0,9.0,6.0,,5.0,,2.0,10.0
IND6 ,,,,,,,,,,,
AGR1 ,19.0,25.0,2.0,7.0,4.0,2.0,,7.0,,6.0,28.0
REL1 ,5.0,9.0,,2.0,4.0,3.0,,12.0,,12.0,53.0
GOV1 ,24.0,30.0,3.0,9.0,7.0,5.0,,5.0,,3.0,14.0
GOV2 ,,,,,,,,,,,
EDU2 ,17.0,23.0,2.0,6.0,10.0,5.0,2.0,8.0,,4.0,23.0
