OccClass,S1M ,S2M ,S4M ,S5M ,C1M ,C2M ,C3M ,PC2M ,RM1M ,RM2M ,URMM 
RES3 ,,10.0,7.0,3.0,14.0,39.0,,7.0,,2.0,18.0
RES4 ,,10.0,7.0,3.0,14.0,37.0,2.0,7.0,,2.0,18.0
RES5 ,,,,,25.0,62.0,2.0,11.0,,,
RES6 ,,,,,,,,,,,
COM1 ,3.0,20.0,16.0,6.0,11.0,27.0,2.0,5.0,,2.0,8.0
COM2 ,,7.0,3.0,,14.0,37.0,2.0,7.0,,3.0,27.0
COM3 ,3.0,20.0,16.0,6.0,11.0,27.0,2.0,5.0,,2.0,8.0
COM4 ,3.0,20.0,16.0,6.0,11.0,27.0,2.0,5.0,,2.0,8.0
COM5 ,3.0,20.0,16.0,6.0,11.0,27.0,2.0,5.0,,2.0,8.0
COM6 ,3.0,20.0,16.0,6.0,12.0,30.0,2.0,6.0,,,5.0
COM7 ,3.0,20.0,16.0,6.0,11.0,27.0,2.0,5.0,,2.0,8.0
COM8 ,3.0,20.0,16.0,6.0,11.0,27.0,2.0,5.0,,2.0,8.0
COM9 ,,,,,,,,,,,
COM10 ,2.0,14.0,10.0,4.0,17.0,43.0,2.0,8.0,,,
IND1 ,,,,,,,,,,,
IND2 ,,7.0,3.0,,14.0,37.0,2.0,7.0,,3.0,27.0
IND3 ,,7.0,3.0,,14.0,37.0,2.0,7.0,,3.0,27.0
IND4 ,,,,,,,,,,,
IND5 ,,7.0,3.0,,14.0,37.0,2.0,7.0,,3.0,27.0
IND6 ,,,,,,,,,,,
AGR1 ,,7.0,3.0,,14.0,37.0,2.0,7.0,,3.0,27.0
REL1 ,3.0,20.0,16.0,6.0,11.0,27.0,2.0,5.0,,2.0,8.0
GOV1 ,20.0,24.0,,,11.0,9.0,,,,5.0,31.0
GOV2 ,,,,,,,,,,,
EDU2 ,7.0,14.0,,,9.0,13.0,,,,13.0,44.0
