OccClass,W1 ,W2 ,S1L ,S2L ,S3 ,S4L ,S5L ,C1L ,C2L ,C3L ,PC1 ,PC2L ,RM1L ,RM2L ,URML ,MH 
RES2 ,,,,,,,,,,,,,,,,100.0
RES3 ,75.0,,,,,,,,,,,,2.0,,23.0,
RES4 ,50.0,,,,,,,,,,,,3.0,2.0,45.0,
RES5 ,20.0,,,,,,,4.0,13.0,2.0,22.0,4.0,2.0,,33.0,
RES6 ,90.0,,,,,,,,,,,,,,10.0,
COM1 ,,30.0,2.0,4.0,11.0,6.0,7.0,,5.0,,5.0,,2.0,,28.0,
COM2 ,,10.0,2.0,4.0,11.0,6.0,7.0,2.0,10.0,2.0,14.0,2.0,2.0,,28.0,
COM3 ,,30.0,2.0,4.0,11.0,6.0,7.0,,5.0,,5.0,,2.0,,28.0,
COM4 ,,30.0,2.0,4.0,11.0,6.0,7.0,,5.0,,5.0,,2.0,,28.0,
COM5 ,,30.0,2.0,4.0,11.0,6.0,7.0,,5.0,,5.0,,2.0,,28.0,
COM6 ,,,,2.0,4.0,2.0,2.0,6.0,21.0,4.0,33.0,6.0,2.0,,18.0,
COM7 ,,30.0,2.0,4.0,11.0,6.0,7.0,,5.0,,5.0,,2.0,,28.0,
COM8 ,,30.0,2.0,4.0,11.0,6.0,7.0,,5.0,,5.0,,2.0,,28.0,
COM9 ,,,2.0,6.0,14.0,8.0,10.0,4.0,13.0,2.0,22.0,4.0,,,15.0,
COM10 ,,,2.0,4.0,11.0,6.0,7.0,6.0,21.0,4.0,33.0,6.0,,,,
IND1 ,,,5.0,10.0,25.0,13.0,17.0,2.0,7.0,2.0,12.0,2.0,,,5.0,
IND2 ,,10.0,2.0,4.0,11.0,6.0,7.0,2.0,10.0,2.0,14.0,2.0,3.0,,27.0,
IND3 ,,10.0,2.0,4.0,11.0,6.0,7.0,2.0,10.0,2.0,14.0,2.0,3.0,,27.0,
IND4 ,,,5.0,10.0,25.0,13.0,17.0,2.0,7.0,2.0,12.0,2.0,,,5.0,
IND5 ,,10.0,2.0,4.0,11.0,6.0,7.0,2.0,10.0,2.0,14.0,2.0,2.0,,28.0,
IND6 ,,30.0,2.0,4.0,11.0,6.0,7.0,,5.0,,5.0,,2.0,,28.0,
AGR1 ,,10.0,2.0,4.0,11.0,6.0,7.0,2.0,10.0,2.0,14.0,2.0,2.0,,28.0,
REL1 ,30.0,,,3.0,5.0,3.0,4.0,,5.0,,5.0,,2.0,2.0,41.0,
GOV1 ,,15.0,14.0,21.0,,,,7.0,6.0,,4.0,,3.0,,30.0,
GOV2 ,,14.0,7.0,17.0,,,,4.0,12.0,,,,,3.0,43.0,
EDU1 ,,10.0,5.0,12.0,,,,5.0,7.0,,,,11.0,,50.0,
EDU2 ,,14.0,6.0,12.0,,,2.0,8.0,11.0,,,,,10.0,37.0,
