OccClass,W1 ,W2 ,S1L ,S2L ,S3 ,S4L ,S5L ,C1L ,C2L ,C3L ,PC1 ,PC2L ,RM1L ,RM2L ,URML ,MH 
RES2 ,,,,,,,,,,,,,,,,100.0
RES3 ,72.0,,1.0,2.0,2.0,,1.0,,6.0,2.0,,,8.0,,3.0,3.0
RES4 ,55.0,,1.0,2.0,2.0,2.0,3.0,,11.0,2.0,,,18.0,1.0,3.0,
RES5 ,39.0,,3.0,3.0,,1.0,8.0,,16.0,6.0,,,18.0,1.0,5.0,
RES6 ,70.0,,,,3.0,1.0,1.0,,5.0,,,,20.0,,,
COM1 ,,34.0,3.0,1.0,3.0,2.0,4.0,,13.0,5.0,10.0,1.0,18.0,2.0,4.0,
COM2 ,,12.0,4.0,5.0,5.0,3.0,3.0,,18.0,,22.0,1.0,19.0,4.0,4.0,
COM3 ,,12.0,3.0,5.0,5.0,2.0,3.0,,23.0,4.0,12.0,1.0,22.0,4.0,4.0,
COM4 ,,34.0,3.0,3.0,1.0,2.0,3.0,,17.0,5.0,3.0,,23.0,4.0,2.0,
COM5 ,,34.0,3.0,3.0,1.0,2.0,3.0,,17.0,5.0,3.0,,23.0,4.0,2.0,
COM6 ,,32.0,5.0,2.0,4.0,3.0,,,16.0,6.0,,,28.0,4.0,,
COM7 ,,46.0,13.0,1.0,3.0,3.0,,,9.0,,,,20.0,,5.0,
COM8 ,,13.0,17.0,12.0,3.0,3.0,,,13.0,6.0,,,30.0,3.0,,
COM9 ,,10.0,10.0,30.0,,,5.0,,10.0,,5.0,,30.0,,,
COM10 ,,,5.0,8.0,,20.0,,,34.0,,,5.0,20.0,6.0,2.0,
IND1 ,,10.0,25.0,30.0,3.0,,,7.0,14.0,,,,9.0,2.0,,
IND2 ,,8.0,5.0,14.0,17.0,4.0,,,10.0,5.0,22.0,3.0,12.0,,,
IND3 ,,,14.0,16.0,6.0,1.0,,5.0,17.0,,28.0,1.0,10.0,2.0,,
IND4 ,,,18.0,25.0,9.0,,,11.0,10.0,,7.0,,15.0,3.0,,2.0
IND5 ,,,4.0,9.0,3.0,2.0,,4.0,20.0,,35.0,3.0,15.0,4.0,,1.0
IND6 ,,30.0,,1.0,15.0,,,,7.0,,4.0,,20.0,3.0,,20.0
AGR1 ,51.0,,4.0,8.0,12.0,,,,2.0,,10.0,,11.0,2.0,,
REL1 ,20.0,,4.0,1.0,3.0,3.0,,,24.0,,4.0,,37.0,4.0,,
GOV1 ,,21.0,6.0,3.0,2.0,2.0,,,26.0,5.0,4.0,2.0,27.0,2.0,,
GOV2 ,50.0,,,,,,,,13.0,,7.0,,20.0,10.0,,
EDU1 ,25.0,,3.0,4.0,5.0,4.0,,,20.0,,4.0,2.0,29.0,4.0,,
EDU2 ,5.0,,2.0,12.0,,5.0,,,20.0,,,,50.0,6.0,,
