OccClass,S1M ,S2M ,S4M ,S5M ,C1M ,C2M ,C3M ,PC2M ,RM1M ,RM2M ,URMM 
RES3 ,10.0,15.0,6.0,,4.0,37.0,,1.0,21.0,6.0,
RES4 ,9.0,24.0,9.0,,5.0,34.0,1.0,,14.0,4.0,
RES5 ,6.0,1.0,11.0,,9.0,45.0,,,18.0,10.0,
RES6 ,15.0,10.0,15.0,,5.0,25.0,,,25.0,5.0,
COM1 ,7.0,25.0,5.0,,3.0,31.0,,,22.0,7.0,
COM2 ,21.0,3.0,,,2.0,34.0,,1.0,34.0,5.0,
COM3 ,10.0,3.0,,,,28.0,,,54.0,5.0,
COM4 ,17.0,18.0,9.0,,9.0,18.0,,2.0,23.0,4.0,
COM5 ,17.0,18.0,9.0,,9.0,18.0,,2.0,23.0,4.0,
COM6 ,14.0,10.0,14.0,,5.0,23.0,,3.0,23.0,8.0,
COM7 ,15.0,10.0,15.0,,5.0,25.0,,,25.0,5.0,
COM8 ,5.0,,28.0,,,52.0,,,10.0,5.0,
COM9 ,5.0,,30.0,,,50.0,,,10.0,5.0,
COM10 ,5.0,8.0,8.0,,7.0,39.0,,8.0,18.0,7.0,
IND1 ,,10.0,20.0,,,40.0,,,20.0,10.0,
IND2 ,,15.0,10.0,,,50.0,,,20.0,5.0,
IND3 ,11.0,4.0,10.0,,30.0,20.0,,1.0,15.0,9.0,
IND4 ,,,,,100.0,,,,,,
IND5 ,10.0,5.0,13.0,,,32.0,,,30.0,10.0,
IND6 ,,,,,,,,,,,
AGR1 ,,,,,,,,,,,
REL1 ,,,,,,80.0,,,10.0,10.0,
GOV1 ,15.0,6.0,15.0,,11.0,28.0,,2.0,18.0,5.0,
GOV2 ,5.0,10.0,10.0,,5.0,60.0,,,,10.0,
EDU2 ,20.0,,15.0,,5.0,35.0,,,15.0,10.0,
